2020-05-19 16:57:25.380 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xgit.kafka.KafkaApplicationTests], using SpringBootContextLoader
2020-05-19 17:04:30.165 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@21d03963, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1f760b47, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@18ece7f4, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3cce57c7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1cf56a1c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@33f676f6, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4c5ae43b, org.springframework.test.context.event.EventPublishingTestExecutionListener@264f218, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3576ddc2, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@35b74c5c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2e570ded, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@b86de0d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@81d9a72]
2020-05-19 17:04:30.665 [main] INFO  com.xgit.kafka.KafkaApplicationTests - Starting KafkaApplicationTests on wanghuxiong with PID 1652 (started by win in D:\GitProject\KafkaMonitoring)
2020-05-19 17:04:30.667 [main] INFO  com.xgit.kafka.KafkaApplicationTests - No active profile set, falling back to default profiles: default
2020-05-19 17:04:32.725 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-19 17:04:33.472 [main] INFO  com.xgit.kafka.KafkaApplicationTests - Started KafkaApplicationTests in 3.242 seconds (JVM running for 5.0)
2020-05-19 17:05:10.983 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xgit.kafka.KafkaApplicationTests], using SpringBootContextLoader
2020-05-19 17:05:10.996 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.xgit.kafka.KafkaApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-19 17:05:10.998 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.xgit.kafka.KafkaApplicationTests]: KafkaApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-05-19 17:05:11.174 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.xgit.kafka.KafkaApplication for test class com.xgit.kafka.KafkaApplicationTests
2020-05-19 17:05:11.311 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-05-19 17:05:11.335 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@21d03963, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1f760b47, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@18ece7f4, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3cce57c7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1cf56a1c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@33f676f6, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4c5ae43b, org.springframework.test.context.event.EventPublishingTestExecutionListener@264f218, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3576ddc2, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@35b74c5c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2e570ded, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@b86de0d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@81d9a72]
2020-05-19 17:05:11.830 [main] INFO  com.xgit.kafka.KafkaApplicationTests - Starting KafkaApplicationTests on wanghuxiong with PID 36588 (started by win in D:\GitProject\KafkaMonitoring)
2020-05-19 17:05:11.832 [main] INFO  com.xgit.kafka.KafkaApplicationTests - No active profile set, falling back to default profiles: default
2020-05-19 17:05:13.820 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-19 17:05:14.465 [main] INFO  com.xgit.kafka.KafkaApplicationTests - Started KafkaApplicationTests in 3.081 seconds (JVM running for 4.735)
2020-05-19 17:05:14.906 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
